Keyword,ICICI URL,Kotak URL,HDFC URL,SBI URL,ICICI Ranking,Kotak Ranking,HDFC Ranking,SBI Ranking
cancer insurance,https://www.iciciprulife.com/,We do not target this keyword,https://www.hdfclife.com/health-insurance-plans/cancer-care-insurance,https://www.sbilife.co.in/,,,,
critical illness benefit,https://www.iciciprulife.com/health-insurance/what-is-critical-illness-insurance.html,We do not target this keyword,https://www.hdfclife.com/health-insurance-plans/critical-illness-insurance,https://www.sbilife.co.in/en/knowledge-centre/insurance-basics-financial-advice/what-is-a-critical-illness-insurance-cover,Not Found,Not Found,Not Found,Not Found
retirement calculator,https://www.iciciprulife.com/insurance-guide/financial-planning-tools-calculators/retirement-planning-calculator.html,https://www.kotaklife.com/financial-tools-calculators/retirement-calculator,https://www.hdfclife.com/retirement-and-pension-plans/retirement-calculator,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plan with return of premium,https://www.iciciprulife.com/term-insurance-plans/return-of-premium-term-plan.html,https://www.kotaklife.com/term-insurance/term-plan-with-return-of-premium,https://www.hdfclife.com/term-insurance-plans/term-with-return-of-premium-plan,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term insurance with return of premium,https://www.iciciprulife.com/term-insurance-plans/return-of-premium-term-plan.html,https://www.kotaklife.com/term-insurance/term-plan-with-return-of-premium,https://www.hdfclife.com/term-insurance-plans/term-with-return-of-premium-plan,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term insurance plan,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,,,,
term life insurance,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,,,,
term insurance premium calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,,,,
term plan calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
best term insurance plan for 1 crore,https://www.iciciprulife.com/term-insurance-plans/buy-1-crore-term-insurance.html,https://www.kotaklife.com/term-insurance/1-crore-term-insurance,https://www.hdfclife.com/term-insurance-plans/1-crore-term-insurance,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,Not Found,Not Found,Not Found,Not Found
term life insurance calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
term life insurance plan,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,Not Found,Not Found,Not Found,Not Found
term policy,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plan premium calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
term life policy,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
